Key,English [en],Vietnamese [vi]
"Narrative/BattleIntro/1","*Cosmic Critters* emerge from the bio-luminescent flora; engage defensive protocols!","*Quái Vũ Trụ* trồi lên từ đám thực vật phát sáng; kích hoạt giao thức phòng thủ!"
"Narrative/BattleIntro/2","A wild *{e}* blocks the trail, hissing static; you have no choice but to strike first.","Một con *{e}* hoang dã chặn đường, rít lên như nhiễu sóng; bạn buộc phải ra tay trước."
"Narrative/BattleIntro/3","Sensors ping - *{e}* burrows out of the glowshroom bed, fangs first!","Cảm biến báo động - *{e}* chui lên từ luống nấm phát quang, nanh nhọn dựng đứng!"
"Narrative/BattleIntro/4","The lake bubbles... a hungry *{e}* surfaces and charges!","Mặt hồ sủi bọt... một con *{e}* đói khát trồi lên và lao tới!"
"Narrative/BattleIntro/5","Your translator crackles: ""*{e}* claims this territory. Prepare!""","Máy phiên dịch rè lên: ""*{e}* tuyên bố lãnh thổ này. Chuẩn bị đi!"""
"Narrative/EliteIntro/1","An *irradiated {e}* looms ahead, crackling with unstable energy!","Một con *{e} nhiễm xạ* sừng sững phía trước, năng lượng bất ổn nổ lép bép!"
"Narrative/EliteIntro/2","This *{e}* has feasted on starlight - larger, meaner, hungrier.","Con *{e}* này đã nuốt trọn ánh sao - to hơn, dữ hơn, đói hơn."
"Narrative/BossIntro/1","The ground trembles. *{e}*, tyrant of this world, descends!","Mặt đất rung chuyển. *{e}*, bạo chúa của thế giới này, giáng lâm!"
"Narrative/BossIntro/2","All flora dims. *{e}* has found you.","Mọi ánh sáng thực vật vụt tắt. *{e}* đã tìm ra bạn."
"Narrative/Win/1","The *{e}* dissolves into stardust. You absorb <b>+{xp} XP</b>.","*{e}* tan thành bụi sao. Bạn hấp thụ <b>+{xp} XP</b>."
"Narrative/Win/2","*{e}* flees into the flora, defeated. <b>+{xp} XP</b> gathered.","*{e}* bại trận, chạy trốn vào đám thực vật. Thu được <b>+{xp} XP</b>."
"Narrative/Win/3","Threat neutralized. Cosmic residue grants <b>+{xp} XP</b>.","Mối đe dọa bị vô hiệu. Tàn dư vũ trụ mang lại <b>+{xp} XP</b>."
"Narrative/Fortune/1","A drifting *spore of luck* settles on your antenna.","Một *bào tử may mắn* trôi dạt đậu lên râu ăng-ten của bạn."
"Narrative/Fortune/2","You sip glowing dew from a crystal leaf. Refreshing!","Bạn nhấp giọt sương phát sáng trên chiếc lá pha lê. Sảng khoái!"
"Narrative/Fortune/3","A tiny *star fragment* fuses with your suit.","Một *mảnh sao* tí hon hợp nhất vào bộ giáp của bạn."
"Narrative/Choice/1","A derelict *supply pod* cracks open, offering strange tech...","Một *khoang tiếp tế* bỏ hoang bật mở, hé lộ công nghệ lạ..."
"Narrative/Choice/2","The flora whispers of *mutation*. Choose your evolution:","Đám thực vật thì thầm về *đột biến*. Chọn hướng tiến hóa của bạn:"
"Narrative/Choice/3","An ancient vending machine hums to life. *Pick one:*","Một máy bán hàng cổ đại rung lên khởi động. *Chọn một:*"
"Narrative/Spring/1","You discover a *bio-luminescent spring* and soak your weary tentacles. <b>+{heal} HP</b>.","Bạn tìm thấy một *suối phát quang sinh học* và ngâm đám xúc tu rã rời. <b>+{heal} HP</b>."
"Narrative/Spring/2","Friendly micro-critters knit your wounds. <b>+{heal} HP</b>.","Lũ vi sinh vật thân thiện vá lành vết thương cho bạn. <b>+{heal} HP</b>."
"Narrative/Sidekick/1","A curious *{s}* bobs out of the flora and decides you are its best friend!","Một con *{s}* tò mò nhún nhảy ra khỏi lùm cây và quyết định bạn là bạn thân của nó!"
"Narrative/Sidekick/2","*{s}* the cosmic critter joins your voyage!","*{s}*, sinh vật vũ trụ, gia nhập hành trình của bạn!"
"Narrative/SidekickFull/1","It waves goodbye and gifts you a *snack* instead. <b>+{heal} HP</b>.","Nó vẫy tay tạm biệt và tặng bạn một *bữa ăn nhẹ* thay lời chào. <b>+{heal} HP</b>."
"Narrative/SidekickJoin"," <b>{s}</b> {d}."," <b>{s}</b> {d}."
"Narrative/SidekickPodFull"," But your pod is full - make room, or send it off with a snack?"," Nhưng khoang của bạn đã đầy - dọn chỗ, hay tiễn nó đi kèm một bữa ăn nhẹ?"
"Narrative/SidekickSwap","*{r}* waves goodbye and drifts into the flora. <b>{s}</b> {d}.","*{r}* vẫy tay tạm biệt và trôi vào lùm cây. <b>{s}</b> {d}."
"Narrative/Trap/1","You step on a *snapvine*! It lashes out before you break free. <b>-{dmg} HP</b>.","Bạn giẫm phải *dây leo đớp*! Nó quật mạnh trước khi bạn thoát ra. <b>-{dmg} HP</b>."
"Narrative/Trap/2","A gas bloom bursts - *toxic spores*! <b>-{dmg} HP</b>.","Một túi khí bung ra - *bào tử độc*! <b>-{dmg} HP</b>."
"Narrative/Treasure/1","Half-buried in the moss: an *alien artifact*! Analyzing grants <b>+{xp} XP</b>.","Vùi nửa trong rêu: một *cổ vật ngoài hành tinh*! Phân tích nó cho <b>+{xp} XP</b>."
"Narrative/Treasure/2","You crack open a *meteor geode* full of knowledge crystals. <b>+{xp} XP</b>.","Bạn đập vỡ một *khối thiên thạch* đầy tinh thể tri thức. <b>+{xp} XP</b>."
"Narrative/PlanetClear/1","The skies calm. *{p}* is pacified - your ship beams you to the next world.","Bầu trời lặng xuống. *{p}* đã bình yên - phi thuyền dịch chuyển bạn tới thế giới kế tiếp."
"Narrative/LevelUpSuffix"," <b>Level up! Lv.{lv}</b>"," <b>Lên cấp! Cấp {lv}</b>"
"Narrative/IntroNewRun","You beam down onto *{p}* - bio-luminescent flora hums in the dusk. Tap <b>ENGAGE</b> to explore.","Bạn dịch chuyển xuống *{p}* - thực vật phát quang ngân nga trong hoàng hôn. Chạm <b>XUẤT PHÁT</b> để khám phá."
"Narrative/IntroResume","Signal restored - your voyage on *{p}* continues. Tap <b>ENGAGE</b>.","Tín hiệu khôi phục - hành trình của bạn trên *{p}* tiếp tục. Chạm <b>XUẤT PHÁT</b>."
"Narrative/Death","Your suit's life support fades... the *{e}* was too much. The mothership retrieves your escape pod.","Hệ duy trì sự sống tắt dần... *{e}* quá mạnh. Tàu mẹ thu hồi khoang thoát hiểm của bạn."
"Narrative/ElitePrefix","Irradiated {e}","{e} Nhiễm Xạ"
"Narrative/CritterName/1","Wobblor","Wobblor"
"Narrative/CritterName/2","Zorp","Zorp"
"Narrative/CritterName/3","Muncher","Muncher"
"Narrative/CritterName/4","Blinkoid","Blinkoid"
"Narrative/CritterName/5","Squishex","Squishex"
"Narrative/CritterName/6","Gnarp","Gnarp"
"Narrative/CritterName/7","Floob","Floob"
"Narrative/CritterName/8","Krellik","Krellik"
"Narrative/BossName/1","Overmind Gluttox","Chúa Tể Gluttox"
"Narrative/BossName/2","Warden Xal","Quản Ngục Xal"
"Narrative/BossName/3","The Devourer","Kẻ Nuốt Chửng"
"Narrative/BossName/4","Empress Vex","Nữ Hoàng Vex"
"Narrative/BossName/5","Null Titan","Titan Hư Vô"
"Planet/Verdania","Verdania","Verdania"
"Planet/Pyros","Pyros","Pyros"
"Planet/Glacius","Glacius","Glacius"
"Planet/Fungaria","Fungaria","Fungaria"
"Planet/Voidreach","Voidreach","Voidreach"
"Sidekick/Gloop/Name","Gloop","Gloop"
"Sidekick/Gloop/Desc","adds +15% of your ATK each strike","cộng thêm 15% ATK mỗi đòn đánh"
"Sidekick/Sporeling/Name","Sporeling","Sporeling"
"Sidekick/Sporeling/Desc","heals 2% Max HP each beat","hồi 2% HP tối đa mỗi nhịp"
"Sidekick/Orbit/Name","Orbit","Orbit"
"Sidekick/Orbit/Desc","blocks 12% incoming damage","chặn 12% sát thương nhận vào"
"Sidekick/Zappy/Name","Zappy","Zappy"
"Sidekick/Zappy/Desc","crit chance +6%","tỉ lệ chí mạng +6%"
"Fortune/MaxHp","Max HP +7%","HP tối đa +7%"
"Fortune/Atk","ATK +5%","ATK +5%"
"Fortune/Def","DEF +2","DEF +2"
"Fortune/Crit","Crit +3%","Chí mạng +3%"
"Fortune/Heal","Heal 20% HP","Hồi 20% HP"
"Upgrade/PlasmaCell/Name","Plasma Cell","Pin Plasma"
"Upgrade/PlasmaCell/Desc","Cosmic ATK +18%","ATK vũ trụ +18%"
"Upgrade/GeneSplice/Name","Gene Splice","Ghép Gen"
"Upgrade/GeneSplice/Desc","Max HP +22%","HP tối đa +22%"
